UID        PID  PPID  C STIME TTY          TIME CMD
grid      2634     1  0 07:14 ?        00:00:00 asm_gen0_+ASM1
grid      2636     1  0 07:14 ?        00:00:00 asm_mman_+ASM1
grid      2640     1  0 07:14 ?        00:00:10 asm_diag_+ASM1
grid      2642     1  0 07:14 ?        00:00:02 asm_ping_+ASM1
grid      2646     1  0 07:14 ?        00:00:29 asm_lmon_+ASM1
grid      2648     1  0 07:14 ?        00:00:30 asm_lmd0_+ASM1
grid      2650     1  0 07:14 ?        00:01:09 asm_lms0_+ASM1
grid      2654     1  0 07:14 ?        00:00:02 asm_lmhb_+ASM1
grid      2656     1  0 07:14 ?        00:00:00 asm_lck1_+ASM1
grid      2658     1  0 07:14 ?        00:00:00 asm_dbw0_+ASM1
grid      2660     1  0 07:14 ?        00:00:00 asm_lgwr_+ASM1
grid      2662     1  0 07:14 ?        00:00:00 asm_ckpt_+ASM1
grid      2664     1  0 07:14 ?        00:00:00 asm_smon_+ASM1
grid      2666     1  0 07:14 ?        00:00:00 asm_lreg_+ASM1
grid      2668     1  0 07:14 ?        00:00:06 asm_rbal_+ASM1
grid      2670     1  0 07:14 ?        00:00:03 asm_gmon_+ASM1
grid      2672     1  0 07:14 ?        00:00:00 asm_mmon_+ASM1
grid      2674     1  0 07:14 ?        00:00:02 asm_mmnl_+ASM1
grid      2676     1  0 07:14 ?        00:00:02 asm_lck0_+ASM1
grid      2680     1  0 07:14 ?        00:00:00 oracle+ASM1 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(
grid      2682     1  0 07:14 ?        00:00:00 asm_gcr0_+ASM1
root      2698     1  1 07:14 ?        00:02:17 /u01/app/12.1.0.1/grid/bin/osysmond.bin
root      2707     1  1 07:14 ?        00:01:26 /u01/app/12.1.0.1/grid/bin/crsd.bin reboot
grid      2724     1  0 07:14 ?        00:00:00 asm_asmb_+ASM1
grid      2727     1  0 07:14 ?        00:00:01 oracle+ASM1_asmb_+asm1 (DESCRIPTION=(LOCAL=YES
grid      2791     1  0 07:15 ?        00:00:53 /u01/app/12.1.0.1/grid/bin/oraagent.bin
root      2795     1  1 07:15 ?        00:01:21 /u01/app/12.1.0.1/grid/bin/orarootagent.bin
grid      2824     1  0 07:15 ?        00:00:00 oracle+ASM1 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(
grid      2834     1  0 07:15 ?        00:00:00 /u01/app/12.1.0.1/grid/opmn/bin/ons -d
grid      2835  2834  0 07:15 ?        00:00:01 /u01/app/12.1.0.1/grid/opmn/bin/ons -d
grid      2852     1  0 07:15 ?        00:00:00 /u01/app/12.1.0.1/grid/bin/tnslsnr LISTENER -n
grid      3028     1  0 07:15 ?        00:00:00 /u01/app/12.1.0.1/grid/bin/tnslsnr MGMTLSNR -n
grid      3048     1  0 07:16 ?        00:00:01 mdb_pmon_-MGMTDB
grid      3050     1  0 07:16 ?        00:00:04 mdb_psp0_-MGMTDB
grid      3052     1  7 07:16 ?        00:09:35 mdb_vktm_-MGMTDB
grid      3056     1  0 07:16 ?        00:00:00 mdb_gen0_-MGMTDB
grid      3058     1  0 07:16 ?        00:00:00 mdb_mman_-MGMTDB
grid      3062     1  0 07:16 ?        00:00:00 mdb_diag_-MGMTDB
grid      3064     1  0 07:16 ?        00:00:00 mdb_dbrm_-MGMTDB
grid      3066     1  0 07:16 ?        00:00:05 mdb_dia0_-MGMTDB
grid      3068     1  0 07:16 ?        00:00:01 mdb_dbw0_-MGMTDB
grid      3070     1  0 07:16 ?        00:00:03 mdb_lgwr_-MGMTDB
grid      3072     1  0 07:16 ?        00:00:05 mdb_ckpt_-MGMTDB
grid      3074     1  0 07:16 ?        00:00:00 mdb_lg00_-MGMTDB
grid      3076     1  0 07:16 ?        00:00:00 mdb_lg01_-MGMTDB
grid      3078     1  0 07:16 ?        00:00:00 mdb_smon_-MGMTDB
grid      3080     1  0 07:16 ?        00:00:00 mdb_lreg_-MGMTDB
grid      3082     1  0 07:16 ?        00:00:00 mdb_rbal_-MGMTDB
grid      3084     1  0 07:16 ?        00:00:00 mdb_asmb_-MGMTDB
grid      3086     1  0 07:16 ?        00:00:10 mdb_mmon_-MGMTDB
grid      3088     1  0 07:16 ?        00:00:05 mdb_mmnl_-MGMTDB
grid      3090     1  0 07:16 ?        00:00:01 oracle+ASM1_asmb_-mgmtdb (DESCRIPTION=(LOCAL=Y
grid      3092     1  0 07:16 ?        00:00:00 mdb_d000_-MGMTDB
grid      3094     1  0 07:16 ?        00:00:00 mdb_s000_-MGMTDB
grid      3096     1  0 07:16 ?        00:00:00 mdb_mark_-MGMTDB
grid      3130     1  0 07:16 ?        00:00:00 mdb_tmon_-MGMTDB
grid      3132     1  0 07:16 ?        00:00:00 mdb_tt00_-MGMTDB
grid      3134     1  0 07:16 ?        00:00:00 mdb_smco_-MGMTDB
grid      3136     1  0 07:16 ?        00:00:00 mdb_fbda_-MGMTDB
grid      3139     1  0 07:16 ?        00:00:00 mdb_aqpc_-MGMTDB
grid      3141     1  0 07:16 ?        00:00:00 mdb_cjq0_-MGMTDB
grid      3194     1  0 07:16 ?        00:00:00 mdb_p000_-MGMTDB
grid      3196     1  0 07:16 ?        00:00:00 mdb_p001_-MGMTDB
grid      3198     1  0 07:16 ?        00:00:00 mdb_p002_-MGMTDB
grid      3200     1  0 07:16 ?        00:00:00 mdb_p003_-MGMTDB
grid      3202     1  0 07:16 ?        00:00:00 mdb_p004_-MGMTDB
grid      3204     1  0 07:16 ?        00:00:00 mdb_p005_-MGMTDB
grid      3206     1  0 07:16 ?        00:00:00 mdb_p006_-MGMTDB
grid      3209     1  0 07:16 ?        00:00:00 mdb_p007_-MGMTDB
grid      3321     1  0 07:16 ?        00:00:00 mdb_qm02_-MGMTDB
grid      3325     1  0 07:16 ?        00:00:00 mdb_q002_-MGMTDB
grid      3327     1  0 07:16 ?        00:00:00 mdb_q003_-MGMTDB
root      3407     2  0 07:16 ?        00:00:02 [btrfs-endio-wri]
root      4026     2  0 06:19 ?        00:00:00 [btrfs-genwork-1]
root      4027     2  0 06:19 ?        00:00:06 [btrfs-submit-1]
root      4028     2  0 06:19 ?        00:00:00 [btrfs-delalloc-]
root      4029     2  0 06:19 ?        00:00:00 [btrfs-fixup-1]
